In dunklen Nächten, wo die Sterne grau
Sich wie ein silberner Schleier legen auf die Erde
Erhebt sich ein Laut, ein leises Ja
Ein Ruf, der aus der Tiefe der Seele sich wendet

Ein Gesang, der durch die Nacht sich wagt
Ein Flüstern, das die Sterne erreicht
Ein Echo, das die Herzen berührt
Ein Ruf, der die Sehnsucht stillt

In dieser Stille, wo die Welt sich schweigt
Erhebt sich ein Laut, ein leises Ja
Ein Ruf, der aus der Tiefe der Seele sich wendet
Ein Gesang, der durch die Nacht sich wagt.
